,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
501,1.5433558,0.030526169,1.2004577,2.2339783,-1.2511855,-0.7139892,0.20564835,0.16700546,-0.22544986,-0.08729066,1.2284518,0.9923261,0.69559467,1.0060136,0.39642596,0.34616917,-0.0077152345,0.38042584,-1.0053816,-0.047409452,-0.054606702,-0.09180001,0.99637973,-0.47095618,-0.17456385,-0.035311114,-0.81990546,0.16313769,-1.1614155,0.017801428,-0.31740877,-0.12910481,0.39791414,-0.16579574,0.38889,-0.17590562,0.13460435,0.14189996,-0.17978999,-0.2285085,-1.0720329,0.5638192,-1.2389153,-1.540486,-1.0187576,0.15183999,-0.15973268,2.025989,0.1701966,0.39152333,-0.4125978,-1.5151953,0.062256332,0.42868337,0.35386667,0.022682687,-0.26698738,0.13214467,-0.13715611,1.6582112,0.26724103,-0.25485572,0.26874402,-0.6797924,0.3969723,0.10526131,0.62519455,1.0430851,-1.3021024,0.0040606065,-0.15592791,0.3109912,0.4769513,-0.47203365,-0.6779923,-0.23267312,0.058723673,0.03768004,0.112286225,-1.5179474,0.25683287,0.8325443,0.5809002,-0.15636884,-0.935938,-0.68231255,-0.07065608,-0.3208517,-0.24042673,0.30272225,-0.029585565,-1.2087355,0.5481483,0.42533612,-0.26461762,-0.66893244,-0.9840218,0.13428275,-1.1265829,0.25608483
226,-0.9818974,1.0305648,0.58436906,1.5307833,1.300563,-0.17158467,-0.33961686,0.3300696,1.2480192,-0.47280595,0.61308527,-0.6154331,0.7024669,-0.042682305,-0.8166482,-0.010155666,0.9572229,-0.51128703,-0.38908592,0.19613686,1.0301119,0.16756038,1.0466826,-1.1424519,0.104235634,-0.19029032,-0.34955016,0.21577267,0.045664024,0.7594032,1.3450968,-0.46912742,-0.50729966,-0.0073901406,0.5608364,0.16979268,0.8945467,0.08070666,0.6229454,0.14034183,0.73644733,-0.9450006,-1.2785884,0.23487756,-1.2572974,-0.24671565,0.81577814,0.7954607,-0.116221726,0.37643865,0.50197965,-2.1564295,-0.12526481,1.1843401,-0.7635497,1.6766022,0.98117256,0.2931768,0.6516694,1.2395037,-0.37469316,-0.7247144,0.34800076,-0.4838871,1.262897,0.8562393,-0.02435252,-0.84619725,0.25413245,-1.1524532,-0.20596987,0.49730778,0.39986953,0.3088047,0.6015591,-0.7082751,-0.43738243,-0.070257284,0.57795125,-1.3690028,-0.9133367,0.73175293,0.7671231,-1.2699853,-0.17980187,-1.036989,0.20892555,-0.7877229,1.697555,-0.41247892,0.30401897,0.6212764,0.42025056,-0.41382962,-1.1268082,-0.32285795,-0.48212886,0.9396722,-0.45922396,-0.5261989
2,1.1238457,-0.5056584,-1.003084,0.55974007,1.678084,0.68611264,-0.11102838,-0.9817877,0.7104518,0.6895195,-1.3938321,1.8525739,-0.69748926,-1.6370574,0.8410038,-0.63757765,0.040864903,0.011944674,-1.8184117,-1.1844376,0.080962285,0.80003273,-0.53163815,-1.2366827,0.7185444,0.060320184,-0.5469662,0.5429681,0.8602493,-0.30244187,-1.0569929,0.51203173,0.52694184,-1.7390071,0.40695497,-0.49191433,-0.05060196,0.7356693,-0.93303734,-1.4381593,-0.5012823,-0.549409,0.1819432,1.4538571,0.5418274,0.6744318,0.03902072,0.6500823,-1.0896574,0.61186326,-1.2565458,-2.0671964,-0.81579876,0.7835498,0.49332395,-0.20017149,-0.8897161,-0.6728423,0.7222173,0.86832637,1.4024283,-0.18846284,0.79251766,0.35888255,0.34477472,0.15112767,0.45376182,-0.9256255,-0.99774694,0.98680675,-1.3778987,0.12913439,-0.28259417,-0.44915968,-0.91057694,0.035718296,-0.17197669,0.54173696,-0.08043965,-1.192694,1.2621349,-0.45055538,-0.8851942,-0.04046362,0.2444642,-0.40302867,-0.044255633,-0.56565887,-0.35374033,0.47753373,-0.8604173,-0.008364494,1.7163762,0.061578147,0.8889775,0.43135443,-2.2202342,0.92144865,-0.7133326,-0.8965435
233,0.9675735,0.7695292,0.19331087,0.023660744,0.08823855,-0.49033535,0.01892165,0.013470091,-0.2374961,-1.8035624,2.0856674,1.241524,0.024840405,-0.26615366,1.3236216,-0.8863417,0.4695609,-2.1412246,-0.48938224,0.108143955,-0.17399456,-0.07462431,1.4123228,0.2537732,-1.5192415,1.1552185,-0.86663496,1.0344869,0.88053066,-0.0023419766,-0.14730881,0.7321931,-0.60292226,-1.1620017,0.40082467,0.52818006,1.3286376,1.0064003,-0.9579373,0.16620252,-0.52319545,0.4175449,0.5300094,0.75876456,-0.1816957,0.98388696,0.14395042,0.53885376,-0.3829232,0.7106656,-0.055209488,-0.10996639,-0.46184278,-0.91052014,-0.62092084,0.18731146,-0.16594152,1.1798148,0.9969054,0.5528417,-0.4756819,-1.1777388,0.64132535,0.4587277,0.88125235,-0.64131665,0.291113,0.37655342,-0.297065,-1.0519452,-0.19430205,0.11875378,0.5884732,0.40401226,0.100459024,-0.42682636,-0.87525225,0.8319675,-0.073986925,-0.05711105,0.6054889,1.0013415,0.10504566,-1.3679807,0.82179415,-0.5835088,-0.11626625,0.7016404,0.02504385,1.0772849,-0.77644837,0.66777223,1.016958,0.37201226,0.44151226,-0.90275955,-1.8501406,0.4794207,-1.160959,-0.41356248
26,-0.22810724,0.038986035,0.24616154,-1.242267,0.18991825,-0.15378742,0.029105246,0.874142,0.044131592,-0.9372814,1.3279356,1.3603168,-0.42695314,-0.34336105,-0.10392113,-0.3764656,-0.21926399,0.5202116,1.612578,0.9019947,0.03413702,0.6415591,0.9715765,-0.26927274,-0.13210015,1.3123479,-0.48005617,0.64285153,0.38700256,-0.46971887,-0.037330795,1.344441,-1.5014678,-1.086144,1.4141405,-0.4031271,-0.2360287,1.1944306,-0.6610551,1.4367615,0.22022538,0.5369652,-1.6267233,0.83300453,0.07318151,0.25368595,0.17501462,-0.76102656,0.972547,-0.5550648,-0.024303954,0.7318164,0.6528418,0.3854179,0.8834577,-0.4042918,-0.44676661,-0.00055042916,0.68564403,-0.20131427,0.30277887,-1.6248711,0.7345632,0.31465414,-0.37333775,-0.57337594,0.48720747,0.7303585,-0.68080336,2.0991514,0.29009262,1.2121373,0.53690594,1.1625221,-0.10208666,-0.39410508,0.13769451,0.65598106,-0.2812548,-1.1622226,-1.544981,-1.4745553,-0.8669145,-0.87708676,-0.28000766,-0.9547689,0.5453473,-0.2508574,-0.25762105,0.14348742,1.1368191,0.68054616,0.9709685,-0.1840739,1.202206,-0.5993804,-0.72468156,0.9658953,-1.8274975,1.3520811
1005,-0.1585723,0.8097713,0.16183208,-0.3527568,-0.44752878,-0.029773343,0.65539557,1.1846703,-0.52065915,-0.83598584,0.46263108,1.3908123,0.10369787,-0.43632296,-1.2405304,-0.28092843,-0.92685497,0.11797464,-0.488718,-0.12601846,0.4528433,1.1099843,0.5297083,0.16559991,-1.0569026,0.12757243,0.09317829,0.58901066,0.029280983,0.9252901,0.49126804,-0.09327188,-0.25149342,-0.43833128,1.0106236,1.3386077,-0.21071894,0.56351095,0.23714922,-0.5540295,-0.4589942,0.09094175,-1.0606579,0.6344681,-0.76544,-0.32309186,-0.02811051,1.1113427,0.0065648006,-0.8112518,-0.5359103,-1.0807089,-0.053971633,0.994758,-0.18496005,0.43200353,0.49256307,-0.06349756,0.41339722,0.15685384,0.57089067,-1.1055998,0.31716985,-0.08259067,1.0912944,-0.3829583,-0.084111586,-0.34350428,-0.77121603,-1.2358094,0.06437245,-0.8308979,0.6367497,0.7830701,-0.06759618,-0.040698633,-0.34073636,-0.12900032,0.3650845,-0.99658746,0.08180872,-0.9367126,0.9632487,-1.66943,-0.19067901,-1.2095865,0.40868524,0.088078804,-0.051633526,0.0065177176,0.83122194,-0.14773725,0.9024756,0.11772869,0.36009163,-0.05340319,-0.45440176,-0.6746102,-0.5109012,-0.14719626
666,0.9560439,-0.713448,1.2337371,-0.5036164,0.20613723,-0.42072117,0.86469597,0.9555623,0.09852235,-0.62661856,1.1126778,0.9582217,-0.13913299,0.20648271,-0.3104154,-0.21668544,0.8195751,-0.48911977,-0.109849714,-1.3292094,1.3217888,-0.14404586,1.838121,-0.81865585,-0.2143184,1.0385416,-0.91152024,-0.71947086,0.8133236,0.24764557,0.50225645,0.5506444,-0.7207296,0.21246155,1.3449961,-1.046012,-1.0769207,0.0125976745,-0.8410934,-0.7817649,0.4407794,0.20901744,0.8625978,0.14041564,-0.17118025,2.2865863,-0.8943626,-1.445866,0.85680634,0.36975425,-0.69970423,-0.7618896,-1.2809912,1.7673341,0.07088428,0.052276183,-1.023476,0.7044031,-0.5251476,0.67447776,-1.1197208,-1.3120476,0.35340044,-0.12133614,0.8075833,0.365748,-0.26464158,-1.341525,0.40050977,-2.1926255,0.6643674,0.04482442,0.6418328,0.027146546,-0.10589223,-1.206783,0.14897138,0.956433,-0.09704414,0.8017356,0.16807577,-0.26556492,-0.59524363,-0.5454847,-0.14211845,-0.65028346,0.020680217,-0.8323587,0.7752868,0.018687982,0.5433645,0.73990667,0.2193426,1.4330308,0.0037468397,-1.2061998,-0.2797395,0.602623,-0.7334071,-0.23841502
225,0.51275575,0.08569268,2.059516,0.1672332,-0.17065562,-0.38758415,-0.49487966,-0.22180209,-1.1885676,-1.9862753,-0.15160221,-0.08574202,0.24095136,-1.0289128,-0.35925618,-1.4382683,1.0491272,-1.0955207,-0.9909368,-0.51315904,-0.6448559,1.126152,-0.3054228,-1.8463564,-1.1539586,1.1485473,-0.9864312,1.4284549,0.60647625,1.5042272,-0.5013617,0.05424601,-2.0606084,-1.5451473,-0.4306294,-1.6344177,-0.20666084,0.95438576,0.033375505,0.03995049,-0.67874366,-0.20857689,-0.6781644,0.19543213,0.15314512,-0.92855096,0.77205694,0.0757058,0.28026304,0.38765883,-2.2331698,-1.072153,0.7211237,0.20030116,-0.6043472,1.2836637,-2.0306869,0.12232047,-0.048113782,1.7383943,-0.36460987,-0.7555743,-0.9450361,0.9965333,1.1844765,-0.5511443,0.03854366,-0.15703489,0.7007867,-0.71973234,0.91510373,-0.41179046,1.8142871,-0.44758424,-0.97663116,1.110805,-0.92642677,0.58911645,0.7013477,-1.3115977,-0.4386477,-0.33316886,-0.14297056,-0.847975,1.2401018,-0.711066,-0.39661783,0.9301462,0.75591403,0.0780625,-0.21178202,1.1561909,-0.3891174,0.5691312,-0.21743026,0.1737764,-1.3312659,0.8839822,0.83534366,-0.7447244
219,-1.0265518,1.129557,1.4427562,0.39920202,0.87883663,0.070657246,0.48895124,-0.29768333,-0.08610154,-0.067160405,-0.038095538,-0.6028742,2.260546,0.22078285,1.5053687,-0.026840674,-0.7045066,-1.4871422,-1.701003,-1.2848945,0.7348063,1.8353292,2.4242334,-0.6577838,-0.48164874,0.16827527,-0.90844303,-0.79955775,-0.81439173,-0.1551629,0.72143984,-0.7383879,0.69971865,0.82032156,-0.013866916,-0.2240874,-0.7676801,0.9324368,-0.08627878,-0.429677,-0.47158542,0.6579565,-0.23473664,-1.3060583,-1.9907979,-0.4206257,1.2947057,0.3803671,-0.87894124,-0.8672346,-0.43385357,-0.30334967,-0.4398298,0.36011717,0.0023544596,-0.4450562,-0.10603008,0.27295122,0.011133504,-0.77243984,-0.47378227,0.16416664,-0.17398408,1.2939272,-0.43926916,-0.33409917,0.6633167,-0.30835575,-0.14185166,-1.0104692,-1.9892241,-0.15350007,-0.12174136,0.08271081,0.063650504,0.71783054,-1.1457295,-0.37420747,-0.36137867,-1.4516977,0.58785695,-0.78141475,1.1149997,0.92070293,-1.315709,-0.055992365,0.38747746,-0.40409055,-0.15743162,-0.2378663,0.74905163,-0.37949345,0.30894968,-0.64512235,-0.101321526,0.4734318,0.26611543,1.4907378,0.5072148,-0.40325156
224,0.77365696,0.2456313,0.17604236,-1.3076817,1.4931527,-0.8934283,0.4347245,0.26244044,0.6768108,-1.4618888,1.7963536,0.5082992,-0.42218703,-1.4000715,0.7524841,0.25585452,1.0187114,-1.684293,0.77016187,0.08284767,0.7186001,0.7047905,0.36133307,0.018517623,-0.6148396,1.3042088,-0.54829746,0.9093789,0.115806945,0.09813408,0.16900785,0.39329886,-0.40306085,-1.0625972,1.3743058,0.11102517,0.30688238,1.0158787,-0.7166675,-0.29372942,0.95167667,0.622917,-0.3036817,0.5686943,0.20996074,0.89850646,-1.316978,-0.44732016,0.4429401,0.25230625,-0.57757837,0.06622366,0.21638815,1.6798333,-0.5517711,-0.4731231,0.46331695,1.6074743,0.49732044,1.1312146,-0.086766765,-0.715748,1.1823153,0.97403735,0.6635522,0.30415568,-1.194129,-0.85327744,-0.41624886,0.1028196,0.7146033,0.22317417,0.5686973,-0.35353962,-0.08234822,-0.6452737,0.394532,0.3626083,0.7178716,-0.51786935,-0.4524278,-0.32548454,-0.46988645,-1.7144562,0.39102617,-0.5664951,0.37428415,0.6906591,0.44855568,0.9325688,0.4193747,0.72138125,0.9007728,0.15935263,-0.35975116,-0.33279768,-1.44051,-0.4355089,-0.9513454,0.0037317371
