itemname,kindname,countyname,marketname,yyyy,regday,price
,,평균,,2005,01/03,"46,483"
,,평균,,2005,01/04,"46,404"
,,평균,,2005,01/05,"46,436"
,,평균,,2005,01/06,"46,436"
,,평균,,2005,01/07,"46,436"
,,평균,,2005,01/10,"46,436"
,,평균,,2005,01/11,"46,436"
,,평균,,2005,01/12,"46,436"
,,평균,,2005,01/13,"46,436"
,,평균,,2005,01/14,"46,476"
,,평균,,2005,01/17,"46,476"
,,평균,,2005,01/18,"46,476"
,,평균,,2005,01/19,"46,476"
,,평균,,2005,01/20,"46,396"
,,평균,,2005,01/21,"46,396"
,,평균,,2005,01/24,"46,396"
,,평균,,2005,01/25,"46,396"
,,평균,,2005,01/26,"46,396"
,,평균,,2005,01/27,"46,476"
,,평균,,2005,01/28,"46,476"
,,평균,,2005,01/31,"46,476"
