itemname,kindname,countyname,marketname,yyyy,regday,price
,,평균,,2005,01/03,"46,483"
,,평균,,2005,01/04,"46,404"
,,평균,,2005,01/05,"46,436"
,,평균,,2005,01/06,"46,436"
,,평균,,2005,01/07,"46,436"
,,평균,,2005,01/10,"46,436"
,,평균,,2005,01/11,"46,436"
,,평균,,2005,01/12,"46,436"
,,평균,,2005,01/13,"46,436"
,,평균,,2005,01/14,"46,476"
,,평균,,2005,01/17,"46,476"
,,평균,,2005,01/18,"46,476"
,,평균,,2005,01/19,"46,476"
,,평균,,2005,01/20,"46,396"
,,평균,,2005,01/21,"46,396"
,,평균,,2005,01/24,"46,396"
,,평균,,2005,01/25,"46,396"
,,평균,,2005,01/26,"46,396"
,,평균,,2005,01/27,"46,476"
,,평균,,2005,01/28,"46,476"
,,평균,,2005,01/31,"46,476"
,,평년,,2005,01/03,"46,090"
,,평년,,2005,01/04,"45,766"
,,평년,,2005,01/05,"45,766"
,,평년,,2005,01/06,"45,773"
,,평년,,2005,01/07,"45,778"
,,평년,,2005,01/10,"45,771"
,,평년,,2005,01/11,"45,765"
,,평년,,2005,01/12,"45,760"
,,평년,,2005,01/13,"45,743"
,,평년,,2005,01/14,"45,733"
,,평년,,2005,01/17,"45,734"
,,평년,,2005,01/18,"45,741"
,,평년,,2005,01/19,"45,736"
,,평년,,2005,01/20,"45,734"
,,평년,,2005,01/21,"45,727"
,,평년,,2005,01/24,"45,707"
,,평년,,2005,01/25,"45,701"
,,평년,,2005,01/26,"45,701"
,,평년,,2005,01/27,"45,701"
,,평년,,2005,01/28,"45,701"
,,평년,,2005,01/31,"45,701"
쌀,20kg(20kg),서울,영등포,2005,01/03,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/04,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/05,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/06,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/07,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/10,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/11,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/12,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/13,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/14,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/17,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/18,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/19,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/20,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/21,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/24,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/25,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/26,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/27,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/28,"44,000"
쌀,20kg(20kg),서울,영등포,2005,01/31,"44,000"
쌀,20kg(20kg),서울,A-유통,2005,01/03,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/04,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/05,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/06,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/07,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/10,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/11,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/12,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/13,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/14,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/17,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/18,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/19,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/20,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/21,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/24,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/25,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/26,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/27,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/28,"50,000"
쌀,20kg(20kg),서울,A-유통,2005,01/31,"50,000"
쌀,20kg(20kg),서울,C-유통,2005,01/03,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/04,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/05,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/06,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/07,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/10,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/11,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/12,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/13,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/14,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/17,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/18,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/19,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/20,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/21,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/24,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/25,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/26,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/27,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/28,"52,000"
쌀,20kg(20kg),서울,C-유통,2005,01/31,"52,000"
쌀,20kg(20kg),서울,F-유통,2005,01/03,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/04,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/05,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/06,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/07,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/10,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/11,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/12,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/13,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/14,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/17,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/18,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/19,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/20,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/21,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/24,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/25,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/26,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/27,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/28,"54,000"
쌀,20kg(20kg),서울,F-유통,2005,01/31,"54,000"
쌀,20kg(20kg),서울,G-유통,2005,01/03,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/04,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/05,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/06,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/07,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/10,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/11,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/12,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/13,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/14,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/17,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/18,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/19,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/20,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/21,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/24,"43,800"
쌀,20kg(20kg),서울,G-유통,2005,01/25,"43,800"
