itemname,kindname,countyname,marketname,yyyy,regday,price
[],[],평균,[],2024,07/31,"20,500"
[],[],평균,[],2024,08/01,"20,500"
[],[],평균,[],2024,08/02,"20,500"
[],[],평균,[],2024,08/05,"20,500"
[],[],평균,[],2024,08/06,"19,300"
[],[],평균,[],2024,08/07,"19,300"
[],[],평균,[],2024,08/08,"19,300"
[],[],평균,[],2024,08/09,"19,300"
[],[],평균,[],2024,08/12,"21,300"
[],[],평균,[],2024,08/13,"20,000"
[],[],평균,[],2024,08/14,"20,000"
[],[],평균,[],2024,08/16,"19,000"
[],[],평균,[],2024,08/19,"19,000"
[],[],평균,[],2024,08/20,"19,000"
[],[],평균,[],2024,08/21,"19,000"
[],[],평균,[],2024,08/22,"15,500"
[],[],평균,[],2024,08/23,"15,500"
[],[],평균,[],2024,08/26,"15,500"
[],[],평균,[],2024,08/27,"14,000"
[],[],평균,[],2024,08/28,"14,500"
[],[],평균,[],2024,08/29,"14,500"
[],[],평균,[],2024,08/30,"14,300"
[],[],평균,[],2024,09/02,"14,300"
[],[],평균,[],2024,09/03,"13,800"
[],[],평균,[],2024,09/04,"13,800"
[],[],평균,[],2024,09/05,"13,300"
[],[],평균,[],2024,09/06,"12,800"
[],[],평균,[],2024,09/09,"12,500"
[],[],평균,[],2024,09/10,"12,500"
[],[],평균,[],2024,09/11,"12,500"
[],[],평균,[],2024,09/12,"12,500"
[],[],평균,[],2024,09/13,"12,150"
[],[],평균,[],2024,09/19,"12,150"
