Names,Representative Number,newnameIdx,itemcategorycode,itemcategoryname,itemcode,itemname,kindcode,kindname,retail_unit,retail_unitsize,productrankcode
가리비,80,203,600,수산물,659,가리비,01,해만가리비(홍가리비),kg,1,04
가리비젓갈,1517,,,,,,,,,,
가시오가피순,1840,,,,,,,,,,
가쓰오다시,3351,,,,,,,,,,
가쓰오부시,267,,,,,,,,,,
가쓰오부시소스,1387,,,,,,,,,,
가자미,65,,,,,,,,,,
가자미액젓,1279,,,,,,,,,,
가지,17,80,200,채소류,251,가지,00,가지,개,10,04
각한천,2418,,,,,,,,,,
간장,383,,,,,,,,,,
간장게장,823,,,,,,,,,,
간장새우,2120,,,,,,,,,,
간재미,803,,,,,,,,,,
갈근,2551,,,,,,,,,,
갈릭드레싱,3115,,,,,,,,,,
갈릭디핑소스,2255,,,,,,,,,,
갈비양념,1462,,,,,,,,,,
갈비탕,1572,,,,,,,,,,
갈치,66,165,600,수산물,613,갈치,01,생선,마리,1,05
갈치속젓,1113,,,,,,,,,,
갈치조림,1511,,,,,,,,,,
갈치포,1509,165,600,수산물,613,갈치,01,생선,마리,1,05
감,2269,137,400,과일류,416,단감,00,단감,개,10,04
감귤주스,1744,,,,,,,,,,
감말랭이,1236,137,400,과일류,416,단감,00,단감,개,10,04
감미료,2164,,,,,,,,,,
감바스,2869,,,,,,,,,,
감성돔,3168,,,,,,,,,,
감자,4,15,100,식량작물,152,감자,00,감자,kg,1,04
감자국,3086,,,,,,,,,,
감자샐러드,1249,,,,,,,,,,
감자수제비,1995,,,,,,,,,,
감자옹심이,2650,,,,,,,,,,
감자전,2672,,,,,,,,,,
감자칩,1597,,,,,,,,,,
감자탕,3085,,,,,,,,,,
감초,457,,,,,,,,,,
감태,1090,,,,,,,,,,
갓,934,,,,,,,,,,
갓김치,1018,,,,,,,,,,
강낭콩,108,6,100,식량작물,141,콩,01,흰 콩(국산),g,500,04
강냉이,2595,,,,,,,,,,
강된장,1501,,,,,,,,,,
강황가루,448,,,,,,,,,,
강황쌀,1419,,,,,,,,,,
거봉,149,125,400,과일류,414,포도,02,거봉,kg,2,24
건갈치,1505,,,,,,,,,,
건고구마,1820,,,,,,,,,,
건고사리,271,,,,,,,,,,
건고추,262,50,200,채소류,241,건고추,00,화건,g,600,04
건더기스프,1410,,,,,,,,,,
건바나나,2374,,,,,,,,,,
건블루베리,460,,,,,,,,,,
건빵,1325,,,,,,,,,,
건새우,259,,,,,,,,,,
건자두,1331,,,,,,,,,,
건조딸기,2963,,,,,,,,,,
건파래,2140,,,,,,,,,,
건포도,273,152,400,과일류,426,건포도,00,수입,g,100,05
검은깨,480,,,,,,,,,,
검은깨가루,2137,,,,,,,,,,
검은콩,111,6,100,식량작물,141,콩,01,흰 콩(국산),g,500,04
검은콩가루,1256,6,100,식량작물,141,콩,01,흰 콩(국산),g,500,04
게,79,,,,,,,,,,
게맛살,2846,,,,,,,,,,
게살,3120,,,,,,,,,,
게살통조림,2473,,,,,,,,,,
겨자,603,,,,,,,,,,
겨자씨,2922,,,,,,,,,,
견과류,191,,,,,,,,,,
결명자,2223,,,,,,,,,,
계란,219,,,,,,,,,,
계란과자,1473,,,,,,,,,,
계피,1114,,,,,,,,,,
계피가루,2044,,,,,,,,,,
계피분,1915,,,,,,,,,,
고구마,3,14,100,식량작물,151,고구마,00,밤,kg,1,04
고구마무스,1377,,,,,,,,,,
고구마샐러드,1881,,,,,,,,,,
고구마순,834,,,,,,,,,,
고구마스틱,2198,,,,,,,,,,
고구마스프,1697,,,,,,,,,,
고구마전분,833,,,,,,,,,,
고구마줄기,810,,,,,,,,,,
고구마칩,1878,,,,,,,,,,
고기산적,3159,,,,,,,,,,
고기완자,2569,,,,,,,,,,
고니,1455,,,,,,,,,,
고들빼기,1313,,,,,,,,,,
고등어,58,156,600,수산물,611,고등어,01,생선,마리,1,05
고등어통조림,723,,,,,,,,,,
고량주,2774,,,,,,,,,,
고로케,3084,,,,,,,,,,
고르곤졸라,278,,,,,,,,,,
고사리,40,,,,,,,,,,
고수,725,,,,,,,,,,
고수가루,3105,,,,,,,,,,
고수씨,1839,,,,,,,,,,
고추,33,59,200,채소류,243,붉은고추,00,붉은고추,g,100,04
고추기름,237,,,,,,,,,,
고추냉이,2597,,,,,,,,,,
고추마늘,2564,,,,,,,,,,
고추부각,2933,,,,,,,,,,
고추씨,770,,,,,,,,,,
고추장,477,,,,,,,,,,
고추장아찌,1066,,,,,,,,,,
고춧가루,224,78,200,채소류,248,고춧가루,00,국산,kg,1,04
고춧잎,985,,,,,,,,,,
곤드레,792,,,,,,,,,,
곤약,279,,,,,,,,,,
곤약가루,2284,,,,,,,,,,
곤약면,921,,,,,,,,,,
곤약젤리,2286,,,,,,,,,,
곤이,1153,,,,,,,,,,
골뱅이,465,,,,,,,,,,
곰취,280,,,,,,,,,,
곰취나물,1651,,,,,,,,,,
곰취잎,3488,,,,,,,,,,
곰피,1339,,,,,,,,,,
공심채,1105,,,,,,,,,,
곶감,150,137,400,과일류,416,단감,00,단감,개,10,04
과메기,809,164,600,수산물,612,꽁치,01,냉동(수입),마리,5,05
과일,1037,,,,,,,,,,
과일주스,1241,,,,,,,,,,
과자,1202,,,,,,,,,,
광어,812,,,,,,,,,,
구기자,832,,,,,,,,,,
구기자가루,1362,,,,,,,,,,
구연산,2497,,,,,,,,,,
국간장,353,,,,,,,,,,
국수장국,3608,,,,,,,,,,
국수호박,2819,,,,,,,,,,
국시장국,1390,,,,,,,,,,
군만두,2938,,,,,,,,,,
굴,81,193,600,수산물,644,굴,00,굴,kg,1,04
굴라쉬,2320,,,,,,,,,,
굴비,830,174,600,수산물,614,조기,07,굴비,마리,1,21
굴소스,481,,,,,,,,,,
굵은소금,283,198,600,수산물,652,굵은소금,00,굵은소금,kg,5,04
궁채나물,1399,,,,,,,,,,
귀리,99,209,100,식량작물,161,귀리,01,귀리,kg,1,07
귀리밥,1616,,,,,,,,,,
귤,128,134,400,과일류,415,감귤,00,감귤,개,10,04
귤껍질,1436,134,400,과일류,415,감귤,00,감귤,개,10,04
귤제스트,2841,134,400,과일류,415,감귤,00,감귤,개,10,04
귤즙,2204,134,400,과일류,415,감귤,00,감귤,개,10,04
귤청,1742,,,,,,,,,,
귤칩,1743,134,400,과일류,415,감귤,00,감귤,개,10,04
그라나파다노치즈,276,,,,,,,,,,
그릭요거트,831,,,,,,,,,,
그린빈,1000,6,100,식량작물,141,콩,01,흰 콩(국산),g,500,04
그린페퍼,1323,,,,,,,,,,
근대,11,,,,,,,,,,
금태,1593,,,,,,,,,,
기름,1063,,,,,,,,,,
기장,100,,,,,,,,,,
기타,102,,,,,,,,,,
김,94,191,600,수산물,641,김,01,얼구운김,장,10,05
김가루,1142,191,600,수산물,641,김,01,얼구운김,장,10,05
김말이,2016,,,,,,,,,,
김밥,1148,,,,,,,,,,
김밥용김,1138,191,600,수산물,641,김,01,얼구운김,장,10,05
김밥용햄,2998,,,,,,,,,,
김부각,2157,,,,,,,,,,
김자반,1140,,,,,,,,,,
김장양념,1634,,,,,,,,,,
김치,962,,,,,,,,,,
김치볶음밥,2070,,,,,,,,,,
김치시즈닝,3557,,,,,,,,,,
김치양념,1356,,,,,,,,,,
김치찌개,2397,,,,,,,,,,
까나리액젓,288,,,,,,,,,,
까르보나라소스,1134,,,,,,,,,,
깍두기,1530,,,,,,,,,,
깐양,3358,,,,,,,,,,
깔라만시,1767,,,,,,,,,,
깔루아,806,,,,,,,,,,
깨,291,100,300,특용작물,312,참깨,01,백색(국산),g,500,04
깨소금,354,,,,,,,,,,
깨소스,1135,,,,,,,,,,
깻순,1866,,,,,,,,,,
깻잎,14,82,200,채소류,253,깻잎,00,깻잎,g,100,04
깻잎가루,2486,82,200,채소류,253,깻잎,00,깻잎,g,100,04
깻잎김치,1272,,,,,,,,,,
깻잎전,1445,,,,,,,,,,
깻잎페스토,2357,,,,,,,,,,
꼬막,82,,,,,,,,,,
꼬시래기,993,,,,,,,,,,
꼬치전,2422,,,,,,,,,,
꼴뚜기,1257,,,,,,,,,,
꽁치,59,164,600,수산물,612,꽁치,01,냉동(수입),마리,5,05
꽃,1157,,,,,,,,,,
꽃게,484,,,,,,,,,,
꽃빵,1085,,,,,,,,,,
꽃새우,1240,200,600,수산물,654,새우,01,흰다리(수입),마리,10,05
꽃소금,544,198,600,수산물,652,굵은소금,00,굵은소금,kg,5,04
꽈리고추,294,56,200,채소류,242,풋고추,02,꽈리고추,g,100,04
꿀,227,,,,,,,,,,
나물,130,,,,,,,,,,
나시고랭소스,2909,,,,,,,,,,
나초,828,,,,,,,,,,
나초치즈,2432,,,,,,,,,,
나트비아,2639,,,,,,,,,,
나파쥬,2842,,,,,,,,,,
낙지,63,,,,,,,,,,
낙지볶음밥,2069,,,,,,,,,,
낙지젓갈,1440,,,,,,,,,,
난,2626,,,,,,,,,,
날치알,486,,,,,,,,,,
납작당면,2723,,,,,,,,,,
낫토,804,,,,,,,,,,
냉면,1247,,,,,,,,,,
냉면육수,1161,,,,,,,,,,
냉이,45,,,,,,,,,,
넙치,3205,,,,,,,,,,
넛맥,811,,,,,,,,,,
노가리,826,175,600,수산물,615,명태,01,생선,마리,1,05
노각,793,,,,,,,,,,
노각무침,3622,,,,,,,,,,
노래미,3620,,,,,,,,,,
노추소스,970,,,,,,,,,,
녹두,113,11,100,식량작물,143,녹두,00,국산,g,500,04
녹말가루,1791,,,,,,,,,,
녹미,943,,,,,,,,,,
녹차,1348,,,,,,,,,,
녹차가루,545,,,,,,,,,,
농어,824,,,,,,,,,,
뇨끼,2684,,,,,,,,,,
누들면,1832,,,,,,,,,,
누룩,1449,,,,,,,,,,
누룩소금,1453,,,,,,,,,,
누룽지,794,,,,,,,,,,
누텔라,1007,,,,,,,,,,
눈개승마,2144,,,,,,,,,,
눈꽃치즈,2429,,,,,,,,,,
느억맘소스,3107,,,,,,,,,,
느타리버섯,55,107,300,특용작물,315,느타리버섯,00,느타리버섯,g,100,04
능이버섯,822,,,,,,,,,,
다래순,2726,,,,,,,,,,
다슬기,821,,,,,,,,,,
다시다,795,,,,,,,,,,
다시마,89,204,600,수산물,660,건다시마,01,완도산,g,100,04
다시마팩,3562,,,,,,,,,,
다이제,1159,,,,,,,,,,
다진마늘,233,87,200,채소류,258,깐마늘(국산),01,깐마늘(국산),kg,1,04
다크체리,2479,151,400,과일류,425,체리,00,수입,g,100,04
단감,2907,137,400,과일류,416,단감,00,단감,개,10,04
단무지,500,,,,,,,,,,
단촛물,1106,,,,,,,,,,
단호박,332,215,200,채소류,224,호박,03,단호박,kg,1,07
단호박가루,1345,215,200,채소류,224,호박,03,단호박,kg,1,07
단호박샐러드,2279,,,,,,,,,,
단호박퓨레,2821,,,,,,,,,,
달고나,2274,,,,,,,,,,
달래,361,,,,,,,,,,
닭,125,513,500,축산물,9901,닭 육계(kg),99,육계(kg),kg,1,1
닭가슴살,302,513,500,축산물,9901,닭 육계(kg),99,육계(kg),kg,1,1
닭가슴살소세지,1581,,,,,,,,,,
닭가슴살햄,1585,,,,,,,,,,
닭갈비,1151,,,,,,,,,,
닭껍질,2633,,,,,,,,,,
닭날개,304,,,,,,,,,,
닭똥집,333,,,,,,,,,,
닭발,301,513,500,축산물,9901,닭 육계(kg),99,육계(kg),kg,1,1
닭봉,813,,,,,,,,,,
닭뼈,3046,513,500,축산물,9901,닭 육계(kg),99,육계(kg),kg,1,1
닭육수,1010,513,500,축산물,9901,닭 육계(kg),99,육계(kg),kg,1,1
당귀,796,,,,,,,,,,
당귀잎,2510,,,,,,,,,,
당근,8,45,200,채소류,232,당근,00,당근,kg,1,04
당근라페,1123,,,,,,,,,,
당면,305,,,,,,,,,,
대게,308,,,,,,,,,,
대구,67,,,,,,,,,,
대창,1408,,,,,,,,,,
대추,131,,,,,,,,,,
대추씨,3154,,,,,,,,,,
대추채,2143,,,,,,,,,,
대추청,2245,,,,,,,,,,
대파,26,74,200,채소류,246,파,00,대파,kg,1,04
대파김치,1889,,,,,,,,,,
대하,310,200,600,수산물,654,새우,01,흰다리(수입),마리,10,05
대합,311,,,,,,,,,,
대합살,1992,,,,,,,,,,
더덕,36,,,,,,,,,,
더치커피,1772,,,,,,,,,,
데리야끼소스,488,,,,,,,,,,
데미글라스소스,2032,,,,,,,,,,
도가니,1902,,,,,,,,,,
도넛믹스,2525,,,,,,,,,,
도다리,817,,,,,,,,,,
도라지,37,,,,,,,,,,
도라지청,2101,,,,,,,,,,
